X.clade_name	clade_taxid	p1	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p2	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p3	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p4	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p5	p6	p7	p8	p9
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	  0.84920	 0.27299	 1.73865	 0.52709	 1.19213	 2.96230	 0.23438	 0.95119	 2.19909	 1.41868	 2.71052	  2.15547	  1.63199	  3.92774	NA	 1.28189	  0.91656	 0.50003	 1.66327	  1.72411	  0.05135	 1.75065	 2.41036	 2.18064	 2.62209	  0.00268	  0.50781	 1.01005	  0.91726	  1.72288	 1.92249	NA	  0.69528	 1.44696	  0.41589	  0.72160	  0.59637	  0.04937	  1.20125	 4.79382	 0.02844	  0.91016	  2.59544	 1.26680	  1.29340	 0.90591	 1.51640	  1.68859	  0.53372
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	  0.66071	 0.55313	 1.21901	 0.48129	 1.00151	 0.80778	 0.47304	 0.46677	 2.36644	 0.25531	 1.29756	  0.89150	  0.73111	  0.73164	NA	 0.94680	  0.57464	 0.86426	 1.91435	  0.35285	NA	 0.90721	 1.05534	 0.32852	 0.50861	NA	  0.86927	 0.33406	  0.51961	NA	 1.00504	NA	  0.24253	 0.52145	  0.18358	  0.07946	  0.05103	NA	NA	 1.00822	 0.01354	  0.55285	  0.38601	 8.74941	  0.44839	 0.50234	 0.42709	  0.96101	  0.53221
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	  0.57850	 0.88571	 0.20936	NA	 0.12501	 0.20989	NA	 0.15300	 0.02402	 0.12759	 0.23008	  0.11433	  0.06891	  0.90686	 0.28168	 0.20053	  0.08225	 0.16029	 1.43270	  0.17779	NA	 5.15992	 5.86786	NA	 1.27992	  0.45658	  0.05401	 0.03949	NA	  0.05497	 0.16022	NA	NA	 0.27009	NA	NA	NA	  0.01711	NA	 0.23503	NA	  0.04151	  0.59074	 2.90923	  0.13000	 1.41755	 0.14929	  5.08997	  2.46712
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	  0.49013	 0.15164	 0.06958	 0.82218	 0.05718	 0.03963	 0.00437	 0.00719	 0.05535	 0.01916	 0.04577	  0.01169	  0.02734	  0.00331	 0.07545	 0.68365	  0.00323	NA	 0.35998	  0.14014	NA	 0.00558	 0.95545	 0.02050	 0.02317	NA	NA	NA	  0.84621	  0.27928	 0.04257	NA	NA	 0.02789	NA	  0.05889	  0.00287	  0.00210	NA	NA	NA	NA	  2.39979	NA	  0.11918	 0.01078	 0.00206	NA	  0.05356
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	  0.43523	 0.93322	 0.21994	 0.00522	NA	 0.31074	 0.92267	 6.81117	 0.00321	 0.02644	 1.28837	NA	  0.00299	NA	 0.13485	 0.19876	  0.02448	NA	 0.33854	NA	  0.03285	 0.00696	NA	10.73261	NA	NA	  0.07215	NA	  1.81147	  1.03427	 0.81891	  0.02281	  3.98475	NA	NA	  0.38819	  0.03795	  0.10697	  0.06053	 0.01808	 0.77679	  2.32838	  0.19817	NA	NA	NA	 0.93271	  0.63310	  0.00489
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	  0.42119	 0.45136	 0.46790	 0.14541	 0.27583	 0.50125	 0.26669	 0.11681	 0.59959	 2.12677	 0.27569	  0.59955	  0.19275	  1.40815	 0.30221	 0.26303	  0.05663	NA	 0.85882	  0.00138	  0.01606	 0.32762	 0.07151	 0.15765	NA	  0.20757	  0.77317	 0.35207	  0.16265	NA	 0.33394	  0.21393	  0.74149	 0.66400	  0.14089	  0.24603	  0.23786	 11.39486	  0.08278	 0.14522	NA	  0.29874	  0.24285	 0.48868	  0.37354	 0.14393	 0.32974	  0.15188	  0.20970
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	2|1224|28216|80840|75682	  0.13960	NA	NA	NA	NA	NA	NA	NA	NA	 0.09125	NA	NA	NA	NA	 0.21270	 0.13796	NA	NA	 0.04480	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	  0.00873	NA	NA	NA	NA
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified	2|1798710||1906119|	  0.10353	 0.00574	NA	NA	NA	 2.53189	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 0.00234	NA	NA	  0.03163
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	  0.09422	 0.94107	 0.05600	 2.73450	NA	 0.12780	 1.92557	 1.06827	 0.33301	 2.18305	 0.18807	  1.39393	  0.60929	  0.70007	 0.24203	 0.25376	  0.15686	 0.23616	 0.04953	  0.25691	  0.33185	NA	 0.04324	 0.24179	 0.73920	  1.04130	  0.73427	 0.39216	NA	  0.12005	NA	  0.22707	NA	 1.50223	NA	NA	NA	  1.07517	  0.03805	 0.08820	 0.00222	  0.11078	NA	 0.36578	NA	 0.03710	 0.01343	  0.15716	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified	2|1239|186801|186802|	  0.08233	 0.08311	 0.11079	NA	 0.02880	 0.26966	 0.01549	 0.02733	 1.15056	 0.31191	 0.34746	  0.27630	  0.03994	  0.05421	 0.11956	 0.07149	  0.00517	 0.10039	 0.02238	NA	NA	 0.06502	 0.01347	NA	NA	NA	  0.29124	NA	NA	NA	 0.01873	  0.05746	  0.02680	 0.25369	NA	  0.01141	NA	  0.00458	  0.05428	 0.23475	NA	  0.00083	NA	 0.03039	  0.03335	 0.03770	 0.48789	  0.11220	  0.02104
