X.clade_name	clade_taxid	p1	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p2	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p3	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p4	p40	p41	p42	p43	p44	p45	p46	p47	p48	p49	p5	p6	p7	p8	p9
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	2|976|200643|171549|171550|239759|28117	  315483	 283237	  687591	  220967	 653145	  637322	     843	  59658	NA	  287646	 338795	 1043257	  513999	  551895	   2737	  409858	  10688	 135610	 162997	 114022	    550	   2168	  406645	 215344	NA	NA	  11609	NA	 235505	NA	 381102	NA	NA	  711116	  48996	    792	 117243	  60102	NA	    4482	NA	 127074	 475228	  38537	  521251	 254935	   84716	  224660	  324930
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	2|976|200643|171549|815|816|820	  596501	 694777	 4351075	  550940	  80864	  617924	   37845	  60423	 1516557	 1274835	 312008	 2896471	  236655	 2860008	NA	 1098406	  22804	  53501	 187752	  21102	   6315	 114989	 1463818	 109324	  36833	NA	  29919	   9640	 382249	2255619	 132243	   5023	   38327	 2039489	  51246	 121137	   2025	  24415	 4385267	 1871230	   1753	  89043	 402356	  57217	 1939652	 134148	  444455	  418461	  973424
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83	2|1239|||||1262992	  231686	   5360	NA	   25363	  15087	    1030	     892	    141	  404300	  104390	  31993	NA	  121281	  177634	NA	   11807	   3118	   2060	   4651	   3338	   1419	   8311	    1166	NA	    973	    432	  19486	    261	   1789	NA	   1010	   4324	NA	  301938	    948	    985	   3025	  30183	    7139	   16105	   4146	  16167	   6989	   2228	   70482	  17212	   10668	  113016	    4990
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	2|976|200643|171549|2005519|397864|487174	  285693	 241633	  349097	NA	  37231	  287151	    2070	  39584	NA	  223970	 297666	  318941	   56836	  580278	NA	  350948	   1354	  13956	  32150	  24034	NA	  98227	NA	  84944	   1133	NA	    965	NA	  79605	NA	  81832	NA	NA	  117097	  10453	NA	  19031	NA	NA	  276567	NA	  67215	  92863	   2178	  337586	  51164	   32637	  192110	  251602
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	2|201174|84998|84999|84107|102106|74426	  181994	 137850	   54685	   42114	 169009	  141511	  122037	 207079	NA	  363574	 156697	  268089	   91049	  438303	NA	  107709	  21232	 100927	  59512	  25401	  85972	  52368	   22509	  88991	  75908	  74289	 161109	  57945	  62860	NA	  93319	  34165	   96629	  487605	 197484	 118860	 143959	  13658	NA	   76447	   6430	 566830	  46926	  87326	  165947	 347931	  339919	  143525	NA
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena	2|1239|186801|186802|186803|189330|88431	  250937	 129843	  185584	  203601	 224833	  159137	  144073	 330076	  651865	  271040	 128851	  215742	  384239	  130101	  46489	  129348	  30462	  44890	  23492	  32850	  25003	  49063	   54242	  16591	  10952	  12965	  53550	  18190	  15821	NA	  25841	  47933	   84787	  397036	  17924	    996	  93067	NA	   12427	   40558	NA	 147976	  59595	  10331	  279575	  45381	  413209	  438717	   73206
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum	2|1239|186801|186802|541000||39492	  174587	   2537	    6678	NA	  16810	   23871	  300465	  16744	NA	   15186	 477994	  696115	NA	NA	 791244	  141056	NA	NA	  15488	NA	NA	  23159	   35650	  11666	   1539	   1585	NA	   1038	NA	NA	NA	NA	   18523	   53074	NA	NA	NA	NA	NA	  143078	   1881	   3169	NA	  31605	NA	  15361	    3316	    4639	    7781
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	2|1239|186801|186802|186803|207244|649756	  173338	  21239	  371721	  260844	 257839	   40325	   62876	  25685	 1233127	  574560	  74007	   76772	  105335	   35713	 191607	  291152	   5867	  88551	    842	  22697	   3436	   4214	  394409	    752	  19536	   5358	  11414	   4054	   1931	  21534	   2919	  17156	   53172	   91899	  14397	NA	  16129	    208	   55985	    4192	NA	   3977	  34194	   1591	  715502	 344690	  195395	  318543	  762969
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans	2|1239|186801|186802|186803|1407607|1150298	  211089	 275729	  810766	 1121065	 237837	  388563	  227773	 231680	  410648	  583527	 149606	 1255039	   43369	   43462	 346601	  223591	  15700	  26128	  32609	   7653	   9895	  54898	  181044	   6457	  22049	  10577	  32283	  30236	 248382	 257193	  19433	 110214	   65752	  552726	   9015	  73641	  52563	NA	  112005	   83920	   2857	 118818	 212704	    569	  938025	 499910	 1435827	 1507534	  488535
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	2|1239|91061|186826|1300|1301|1308	   89482	NA	   32635	   85832	NA	NA	    2127	   8140	  425413	   47807	  29901	NA	NA	    1757	NA	    9921	    346	   3487	    322	NA	NA	    515	NA	NA	NA	NA	NA	NA	  19186	   1929	    986	  17489	NA	   13980	NA	NA	NA	NA	    5587	   11481	   7754	NA	    279	   5204	NA	    171	   19057	    1299	NA
