X.clade_name	clade_taxid	ERR011273_profile_count.txt	ERR011275_profile_count.txt	ERR011277_profile_count.txt	ERR011279_profile_count.txt	ERR011281_profile_count.txt	ERR011283_profile_count.txt	ERR011285_profile_count.txt	ERR011287_profile_count.txt	ERR011289_profile_count.txt	ERR011291_profile_count.txt	ERR011295_profile_count.txt	ERR011297_profile_count.txt	ERR011299_profile_count.txt	ERR011303_profile_count.txt	ERR011307_profile_count.txt	ERR011313_profile_count.txt	ERR011321_profile_count.txt	ERR011327_profile_count.txt	ERR011329_profile_count.txt	ERR011331_profile_count.txt	ERR011333_profile_count.txt	ERR011335_profile_count.txt	ERR011341_profile_count.txt	ERR2809_profile_count.txt	ERR2838_profile_count.txt	ERR2849_profile_count.txt	ERR2859_profile_count.txt	ERR2881_profile_count.txt	ERR2951_profile_count.txt	ERR2996_profile_count.txt	ERR3003_profile_count.txt	ERR3016_profile_count.txt	ERR3019_profile_count.txt	ERR3028_profile_count.txt	ERR3068_profile_count.txt	ERR3112_profile_count.txt	ERR3119_profile_count.txt	ERR3162_profile_count.txt	ERR3163_profile_count.txt	ERR3188_profile_count.txt	ERR3210_profile_count.txt	ERR3216_profile_count.txt	ERR3217_profile_count.txt	ERR3250_profile_count.txt	ERR3264_profile_count.txt	ERR3283_profile_count.txt
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	2796612	 390837	 958313	2071085	1397959	1312669	6822241	5341234	1880998	2096596	3869114	2692645	3865596	6449295	8134634	4274328	2955323	2324018	3374957	1298394	1797188	1321843	2440467	 1900063	13801896	 4888155	 4896092	1890153	 5047912	 4979086	 2464661	 5739366	 6668448	 876180	3563713	 4749751	13043434	1149555	14162237	1752491	10136583	 5835815	2693567	 8850189	10809722	 3670000
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	 798182	4807519	1059145	2110124	 417704	 811966	 568361	 802049	 749005	1213901	1845401	 664861	1182519	 709405	 640377	 640142	 433913	1558138	1326744	1674789	3285161	 805155	2503680	 6183409	13983863	 4728616	 8730089	5400954	 6853345	 8647441	 9004760	 7177287	 5451895	4276906	3501135	11664072	 6973171	5835144	 3238542	4391697	 7821303	 5007262	5932887	 5901915	 6205716	 7541782
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	  51838	  75722	  39324	  65791	NA	   7526	   9907	  68929	 142424	  69184	  39631	 353093	  16746	   2492	  11707	   7059	  30311	  32837	 122723	  35081	  45693	  31134	 110087	  330315	   38647	  157741	  431887	 134154	   85603	   53303	  117384	   38438	   56371	 133081	 110202	   45936	  125390	 179486	  209157	 353429	    9400	    8945	  82827	   33625	  404300	  184019
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	  15549	NA	  19386	   7610	  16540	NA	NA	NA	NA	NA	NA	NA	   5347	NA	NA	NA	NA	  14470	NA	   7312	NA	   1026	NA	NA	NA	  106558	    8788	 413982	NA	   60852	NA	  106632	  137118	 891690	  55283	NA	NA	   8454	NA	 166099	   21082	   31350	 116187	   23787	  320591	   73951
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	  14860	NA	NA	   2604	NA	   7115	  11480	NA	   8600	   2833	  31971	  36149	NA	    224	  26401	NA	  23618	NA	  13116	   3497	NA	   7617	   1431	     486	  110333	   10098	  147157	  33469	     480	   27006	NA	NA	NA	NA	  67374	NA	   17058	   6074	   17729	NA	    5765	    9266	  18232	    2943	   25129	    1201
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	   9935	 136557	  23856	  15032	NA	  21153	  11752	NA	  18032	  74410	 121574	 109849	  45381	  27548	NA	  64947	   4610	  14393	 131863	 452048	 581911	   4691	  14643	 1460613	  356602	  116588	   95490	1282504	  184642	 1308044	NA	NA	  427984	1744177	 219603	NA	   33689	 850690	  165506	 336522	  143029	  562281	 176347	  434618	   19572	 1548281
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	   9723	  30482	  44736	  17160	NA	   9438	   7795	    884	   5412	  20173	  35592	  56199	  34841	  13506	NA	NA	   3725	  10379	 346300	  47747	  81529	   8656	  12464	  184679	  327684	   22599	  495579	 352584	  166198	  344285	  144496	   42504	  108887	NA	 157058	NA	   93030	 211267	  548931	 149635	   82748	  143835	 170800	  125345	  175705	  367073
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	   3630	NA	NA	  25793	    403	    136	   6148	NA	    830	  13622	   5219	  12545	  61520	    243	   1499	   2117	NA	  29229	   3104	NA	  57141	   4474	  41194	   30743	NA	NA	NA	NA	NA	   85822	   44774	     425	   15203	   7955	  61602	     507	     304	 470327	NA	  57074	   20942	   20610	NA	   82388	     293	    2370
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	   7577	   4372	  16464	   5443	NA	    765	   1465	NA	   1449	  10654	   2935	   9352	    828	  17651	NA	    731	  43012	    214	NA	    892	  57796	NA	NA	   64638	    2857	   89062	    3158	   1048	   14310	     236	NA	   91810	   90460	  22769	   3268	    7561	    4103	    597	     367	  10929	   21968	    3821	   4852	     491	    7591	   13146
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	   1942	   1696	NA	    294	NA	NA	    143	NA	NA	NA	NA	NA	NA	NA	    915	NA	NA	    962	NA	NA	NA	NA	  13744	NA	NA	NA	NA	NA	NA	    1703	NA	     188	    7563	    722	NA	NA	     127	NA	NA	NA	NA	NA	NA	     261	NA	NA
